L,R,F,M,C
97.43,6.6,3,18770,0.66
97.43,3.8,24,35087,0.62
97.2,2.8,9,20660,0.52
93.03,1,12,23071,0.51
74.83,3.17,3,2897,0.95
43.1,1.57,3,4608,0.65
35.63,17.83,2,3390,0.48
25.13,4.13,8,11797,1.35
19.3,5.9,6,6355,0.75
103.57,0.4,54,62170,0.79
63.17,2.33,24,15894,0.6
62.93,0.07,13,19517,0.72
62.93,4.63,10,12686,0.55
62.47,14.93,13,10992,1.33
60.1,10.27,3,4137,0.67
58.5,0.33,19,37415,0.63
48.93,1.63,13,24156,0.79
48.23,22.23,3,1559,0.87
47.07,23.17,2,1870,0.6
45.43,2.6,30,46621,0.93
37.27,4.57,4,7999,0.58
74.17,12.83,7,13298,0.48
29.1,2.67,6,12194,0.7
26.53,16.23,2,1970,0.73
99.53,4.6,2,2913,0.69
54.83,21.07,4,6684,0.54
53.87,6.57,2,1630,0.91
53.67,1.3,24,33064,0.55
53.43,5.33,3,5850,0.42
53.43,0.1,3,3969,0.29
53.43,0.83,5,6985,0.69
53.2,1.87,7,7784,0.62
53,6.8,4,5500,0.55
53,3.93,3,5267,0.6
52.77,0.3,46,66927,0.65
52.77,0.23,6,5836,0.8
52.53,3.4,9,15025,0.71
52.53,0.4,22,38531,0.7
52.03,5,8,24812,0.56
51.83,0.73,20,22214,0.76
51.83,13.17,2,3308,0.8
51.83,1.73,2,1312,0.7
89.73,0.1,83,95665,0.83
51.6,1.67,3,4137,0.79
51.37,0.3,21,31812,0.62
51.37,6.9,2,3255,0.71
51.37,1.9,2,3120,0.73
51.13,4.77,9,11054,0.68
51.13,0.77,14,27925,0.56
51.13,8.4,7,8043,0.68
50.43,8,3,2472,0.76
49.97,2.33,2,2823,0.53
49.97,0.27,83,134621,0.8
49.97,2.6,14,18098,0.79
49.5,0.43,6,5908,0.97
49,4.47,19,22100,1.06
49,1.27,7,7564,0.76
48.57,6.73,12,21108,0.81
46.93,13.83,3,3147,0.77
46.47,0.07,29,37929,0.68
46.47,0.83,45,80124,0.68
46,6.73,3,4569,0.88
45.77,8.7,3,1737,0.97
45.3,6,6,8345,0.44
45.07,2.97,5,5748,0.67
44.83,5.7,6,10763,0.7
44.83,4.03,5,6483,0.64
44.83,11.03,2,5586,0.55
44.6,0.83,27,25431,0.8
44.4,0.1,84,79768,0.85
44.17,0.33,3,3262,0.62
44.17,17.03,2,3934,0.75
43.9,9.03,5,8141,0.51
43.9,0.3,4,3823,0.91
42.87,0.5,13,20806,0.51
42.3,0.13,8,6461,0.64
47.37,4.27,14,104188,0.38
41.67,2.3,27,49003,0.75
41.67,0.57,6,13089,0.49
41.67,4.77,3,4215,0.28
41.7,2.17,19,30666,0.67
41.67,18.1,2,5942,0.7
41.57,6.37,15,27465,0.69
41.1,0.23,36,44761,0.73
41.57,4.63,3,3491,0.65
41.57,8.3,9,12582,0.76
41,11.57,3,1140,0.93
41.03,2.57,4,4646,0.62
40.77,0.77,13,13069,0.71
40.77,9.47,4,3114,0.91
40.77,0.57,2,1074,0.77
40.97,8.1,3,8122,0.7
40.77,0.5,7,9292,0.71
41.03,2.77,6,8323,0.73
40.77,8.93,4,7079,0.35
40.97,0.9,7,6767,0.66
40.97,3.3,2,1943,0.79
40.97,1.8,13,20214,0.7
41.03,0.77,64,113219,0.69
41.03,0.2,11,15653,0.52
41.03,15.57,3,3760,0.68
41.03,17.4,3,4394,0.58
40.97,10.57,2,3934,0.8
40.97,6.43,2,1737,0.56
40.97,5.2,5,5112,0.49
40.77,10.13,4,4861,0.6
40.97,2.63,2,4047,0.74
41.03,18.33,2,2254,0.55
40.77,0.83,11,12975,0.58
40.63,0.07,10,7717,0.72
40.77,7.5,8,12811,0.79
39.93,2.2,6,11802,0.8
40.77,1.77,4,6306,0.85
66.2,0.9,78,61691,0.82
39.93,0.6,3,2782,0.56
38.83,0.07,5,9890,0.45
40.77,9.67,2,3367,0.87
40.77,0.13,6,11086,1.18
40.63,20.47,3,3068,0.87
40.63,2.2,9,13518,0.52
40.63,0.07,3,1780,1.01
39.93,0.27,13,17485,1.22
39.93,6,3,3746,0.86
40.63,5.43,6,7117,0.86
40.63,18.63,3,2730,0.7
40.63,1.67,2,4154,0.72
40.63,23.83,2,4880,0.28
53.43,2.23,12,15251,0.52
53.2,2.3,2,3934,0.61
44.4,11.57,2,1647,0.66
41.8,4.87,4,5588,0.69
28.03,13.43,2,2780,0.88
40.4,5.3,11,19120,0.42
40.63,3.87,2,1577,0.69
40.4,12.27,5,3450,1
40.4,1.9,2,2805,0.7
40.4,1.63,2,1746,0.88
40.17,5.47,3,1877,0.77
43.97,3.1,9,20952,0.73
39.93,0.17,24,56650,0.7
40.17,0.4,3,4926,0.6
40.4,8.13,2,3521,0.57
42,0.03,96,81229,0.7
39.93,19.63,5,7493,0.82
40.17,2.33,2,4175,0.72
40.17,6.13,5,6289,0.58
40.17,0.6,13,16443,0.64
39.93,4.8,5,8610,0.68
39.93,19.3,7,4549,0.72
39.93,5.93,2,3557,0.55
39.63,15.73,2,3124,0.63
39.63,0.87,2,1604,0.63
39.63,0.77,3,1947,0.53
39.13,2.97,27,106399,0.82
39.43,7.93,9,10367,0.73
39.43,13.1,2,2977,0.45
39.43,1.63,3,5122,0.85
39.43,1.57,9,6282,0.51
39.43,2.4,4,6111,0.73
39.43,0.07,11,35090,0.72
39.43,16.43,2,2319,0.66
30.77,1.43,5,5667,0.58
39.43,0.03,2,2020,0.38
39.13,0.2,13,18192,0.43
39.13,0.57,10,12376,0.63
39.13,6.97,2,1529,0.53
39.43,0.23,20,26393,0.58
39.13,0.5,15,20264,0.7
39.13,5.8,2,1215,0.83
39.1,0.5,3,2070,0.78
39.13,22.57,2,16254,0.55
39.13,0.13,4,7977,0.33
39.1,2.53,5,7017,0.7
39.1,16.8,4,8130,1.37
38.77,0.73,9,20934,0.88
39.1,1.13,3,5180,0.93
84.87,2.23,8,8352,0.78
39.13,10.13,16,26293,0.7
39.13,2.37,9,16493,0.66
39.13,0.03,11,9993,0.54
39.13,0.27,25,40982,0.64
30.67,10.47,3,4744,0.28
85,5.2,5,11489,0.42
39.43,4.97,8,10292,0.48
30.47,4.77,5,5863,0.7
30.67,3.37,9,16289,0.8
30.47,5.5,9,14113,0.67
39.1,4.4,15,16906,0.64
39.1,1.6,6,5584,0.81
39.1,0.23,21,25401,0.73
39.1,1.87,38,35588,0.72
39.13,0.27,35,45358,0.77
39.1,1.5,3,3935,0.64
39.1,2.33,12,14878,0.66
39.1,6,2,1914,0.14
39.1,5.43,4,5248,0.6
39.1,1.57,2,3106,0.88
39.1,6.17,3,3527,0.37
39.13,6.2,5,5350,0.74
39.13,0.07,16,16277,0.55
39.13,2.13,11,13671,0.45
39.13,1.07,14,13046,0.78
39.13,14.77,3,3153,0.79
39.13,22.7,2,3934,0.53
39.1,3.8,2,2373,0.59
39.13,1.23,21,27875,0.87
39.13,18.17,2,1648,0.55
39.13,7.67,7,10884,0.51
39.13,15.17,5,5263,0.58
39.13,5.27,7,10684,0.54
39.1,6.8,5,6525,0.65
39.1,11.33,5,5022,0.46
39.13,2.5,2,3934,0.33
39.13,11.9,4,6145,0.99
39.1,5.8,9,8141,0.64
39.1,9.17,11,14259,0.54
39.1,0.1,4,5144,0.57
39.1,1.83,4,5681,0.75
38.77,0.37,11,17341,1.41
38.77,7.1,5,6104,0.69
38.77,1.6,4,5430,0.38
38.5,7.17,5,9820,0.79
38.5,4,2,2543,0.51
38.5,17.67,2,3667,0.5
38.4,2.47,10,16064,0.5
38.4,8.23,2,1186,0.38
38.5,0.4,46,44119,0.82
38.5,3.33,5,10411,0.82
38.5,0.93,2,1294,0.92
38.27,2.3,3,2096,0.68
37.6,21.47,2,2262,0.54
37.6,21.07,2,1380,1
37.6,2.97,5,7861,0.66
37.83,2.67,5,8563,0.59
37.37,4.73,3,3588,0.57
36.63,5.17,4,3874,0.36
36.53,7.93,7,14457,0.49
35.67,9.43,8,18565,0.8
36.2,2.9,2,3823,0.77
35.27,0.37,39,60505,0.59
37.13,17.67,2,4618,0.51
35.67,5.27,2,1134,0.69
35.27,14.47,5,9755,0.48
35.27,0.07,23,18860,0.77
81.83,9.03,8,10073,0.65
34.9,0.03,2,2253,0.88
34.77,9.9,7,5456,0.82
35.27,1.97,2,4006,0.58
35.27,6.17,2,2257,0.68
34.9,2.73,7,9156,0.7
33.77,16.87,6,6235,0.76
35.27,7.8,2,3934,0.71
34.07,1.07,5,8278,0.8
34.47,13.17,5,1900,0.77
34.07,2.77,2,2657,0.9
34.07,1.1,9,9657,0.69
34.07,0.67,17,24478,0.69
33.23,4.17,2,5107,0.48
33.23,0.33,15,26620,0.59
33.23,5.47,2,4196,0.77
33.23,1.07,7,5642,0.78
33.23,1.43,14,17307,0.68
33.23,1.4,10,12578,0.82
32.5,1.63,2,1746,0.39
33.13,0.27,4,5263,0.51
32.5,1.4,13,25491,0.55
32.5,0.3,2,2616,0.56
33.13,18.77,3,2433,0.65
32.5,3.33,10,18083,0.71
32.5,0.33,45,81656,0.65
32.5,3.23,7,13982,0.65
32.5,11.27,4,5800,0.55
32.5,14.83,3,5242,0.49
32.47,0.03,34,31783,0.65
32.47,1.53,3,2825,0.77
32.5,0.7,32,40662,0.7
32.5,0.63,23,26404,0.65
32.47,10.67,3,5011,0.75
33.2,2.5,7,8083,0.77
32.13,9.03,2,3434,0.63
32.13,8.93,2,2497,0.47
32,0.4,12,18971,0.64
32,1.1,7,7278,0.73
32,0.43,26,32492,0.79
31.53,5.47,2,2352,0.34
31.53,0.43,56,75409,0.68
31.23,7.3,2,1991,0.91
31,1.07,37,54890,0.73
31.2,3,2,2321,0.78
31.2,4.3,2,2033,0.53
31,1.33,3,5088,0.86
31.23,0.03,29,51702,0.7
30.47,19.17,2,1926,0.82
30.47,0.5,3,4159,0.4
35.87,2.77,15,23002,0.47
30.47,7.73,7,7115,0.71
29.93,2.2,6,5961,0.62
29.93,1.23,3,5901,0.67
29.93,5.97,4,2654,0.67
29.93,0.7,15,21227,0.64
29.93,11.3,2,1158,1
29.67,3.27,29,37256,0.6
29.2,0.53,7,6935,0.67
29.67,3.77,11,13068,0.54
29.2,5.07,4,3204,0.62
29.43,11.6,4,5043,0.59
29.17,0.07,78,100891,0.73
28.73,1.63,56,63130,0.66
28.43,7.5,2,3858,0.84
28.43,4.87,2,1619,1.41
28.43,8.63,2,1298,0.81
28.43,9.27,8,7645,0.74
28.27,1.6,5,3328,0.46
28.03,0.57,12,18722,0.73
27.7,15.83,7,9156,0.86
27.7,0.87,2,4639,0.53
27.57,20.97,2,2750,0.45
27.1,17.13,2,1158,0.85
27.37,4.5,3,3543,0.57
26.57,15.67,4,5380,0.61
26.87,11.5,4,5318,0.68
26.87,10.33,6,9796,0.66
26.87,19.07,3,5124,0.77
27.1,4.5,2,2391,0.56
26.87,0.8,19,25013,0.6
26.57,3.27,4,3602,0.92
63.77,8,4,5186,0.72
26.57,1.63,8,12981,0.74
26.57,6.4,4,3382,1.14
26.57,12.1,6,4902,0.61
25.93,0.6,15,36825,0.44
26.47,6.57,3,3500,0.86
25.93,0.2,6,11373,0.74
24.93,17.4,8,18472,0.76
24.93,4.37,6,10835,0.51
24.93,2.6,3,3990,0.59
25.93,11.7,4,7166,0.6
25.47,16.57,2,2888,0.57
25.4,19.73,2,2576,0.73
26.6,13.97,3,7407,0.43
25.47,6.47,3,3858,0.56
25.47,9.53,2,2656,0.82
25.4,8.1,5,8517,0.58
25.4,2.5,4,2844,1.09
25.4,19.1,5,7169,0.75
25.23,4.33,8,7900,0.81
24.63,20.57,2,2928,0.5
25.23,2.5,25,47765,0.63
25.23,15.77,2,3951,0.78
25.23,9.2,2,1158,0.63
24.47,16.1,5,7750,0.58
24.47,5.27,2,904,0.34
24.47,8.43,2,1807,0.79
24.47,0.63,14,19495,0.76
24.27,23.5,2,2196,0.4
24,22.37,2,1096,0.25
24.27,3.7,4,7087,0.58
24,2.83,8,13120,0.71
23.83,18.6,2,2158,0.45
23.83,1.47,27,16782,0.83
23.83,2.53,15,17040,0.71
24,21.53,4,11972,0.5
23.6,1.57,19,31006,0.63
23.6,1.07,4,22102,0.46
28.77,16.43,5,4971,0.93
23.6,11.27,2,2520,0.72
23.6,6.67,4,3728,0.59
23.4,0.3,14,17825,0.71
23.13,0.53,5,19178,0.64
22.9,1.47,4,4160,0.86
25.6,0.9,23,25517,0.84
22.67,3.73,3,4721,0.49
22.43,7.1,4,5596,0.83
22.67,0.6,48,56173,0.77
22.43,7.97,5,4429,0.59
22.43,5.67,21,29931,0.67
22.23,2.87,6,5056,0.71
22.23,0.5,9,17828,0.84
22.43,7.53,2,4286,0.86
21.93,4.1,9,8996,0.55
21.93,2.8,5,4515,0.59
21.73,5.7,4,11606,0.72
21.73,10.97,3,5806,0.4
21.73,7.63,5,3532,0.82
21.5,11.27,6,5785,0.52
21.73,3.8,5,2806,0.38
21.5,0.13,2,2266,0.93
21.33,3.2,5,6075,0.45
21.33,1.7,3,36696,0.68
21.33,1.87,3,3969,0.77
21.03,1,36,44743,0.74
21.03,2.03,5,6958,0.64
21.03,6.33,4,11606,0.5
21.03,0.23,45,49458,0.63
21.03,1.63,5,8967,0.62
20.67,3.4,6,8550,0.51
20.67,0.13,29,39897,0.66
20.67,4.03,6,10446,0.54
20.67,3.47,4,5314,0.61
20.53,1.57,2,5420,0.82
20.67,4.87,7,12232,0.76
20.53,0.97,5,6760,0.76
20.33,14.13,2,2344,0.37
20.33,3.57,2,2572,0.58
20.33,5.5,2,3934,0.61
20.33,1.5,17,29312,0.7
20.3,0.87,9,26037,0.76
19.87,10.9,2,2234,0.25
19.87,8.4,2,3660,0.57
20.1,3.6,2,1476,0.48
19.87,0.3,4,3927,0.65
19.87,2.4,2,2616,0.62
19.57,13.1,2,2192,0.4
19.57,6.13,3,5119,0.71
19.57,8.6,4,4346,0.56
19.57,0.57,16,19457,0.56
19.2,11.33,2,3472,0.56
19.2,0.23,8,11887,0.64
19.17,4.23,4,3456,0.92
18.93,10,2,3499,0.33
18.93,0.87,16,37642,0.76
18.93,2.03,9,10283,0.62
18.93,0.67,11,15272,0.62
18.93,11.07,2,1526,1
18.67,0.93,5,8341,0.49
18.43,0.4,3,4460,0.62
18.43,2.57,11,9100,0.81
18.43,13.77,4,3024,0.86
18.23,6.5,4,10089,0.71
18.43,14.73,2,2892,0.8
18.23,5.57,2,1630,0.76
18.23,13.43,2,3043,0.34
17.53,0.03,31,11780,0.84
17.77,10.33,4,5534,0.62
17.77,6,3,3639,0.45
17.77,5.9,2,2616,0.45
17.77,11.87,2,3183,1
22.4,6.83,4,5541,0.6
17.53,1,9,13696,0.45
17.53,9.4,3,4049,0.88
17.53,14.47,2,1560,1
17.3,1.17,4,5504,0.59
17.3,7.8,4,5815,0.65
17.3,8.03,6,10440,0.46
18.4,2.67,6,6619,0.72
17.2,11.97,3,4662,0.57
17.2,5.8,2,2206,0.44
17.2,9.03,3,8205,0.37
17.07,0.53,5,9857,0.77
16.6,0.9,2,1866,0.51
16.83,7.83,4,7356,0.66
16.83,6.67,2,1774,0.42
16.6,5.97,5,4556,0.81
16.6,3.1,9,9721,0.49
16.6,5.27,5,9835,0.7
16.6,11.3,2,5099,0.61
16.6,0.5,3,4830,0.75
16.37,5.37,6,13525,0.71
16.1,0.9,28,22509,0.74
16.37,0.27,10,11758,0.6
16.37,1.83,2,3684,0.82
16.1,12.63,2,2092,0.6
16.07,4.03,3,5033,0.58
15.9,1.6,2,1208,0.89
15.9,10.53,3,4089,0.25
15.9,0.33,4,11559,0.63
15.67,1.43,7,12289,0.47
15.67,3.3,3,3858,0.73
15.43,7.37,5,7778,0.63
15.43,1.77,3,1644,0.63
87.57,0.97,7,13582,0.49
15.4,8.63,6,7584,0.64
15.4,5.83,2,1746,0.28
15.4,6.1,3,5440,0.46
15.4,4.17,3,4220,0.43
15.4,2.87,13,21803,0.71
15.17,0.57,2,2787,0.32
14.73,3.53,2,5344,0.29
14.73,10.6,4,9807,0.47
14.73,0.7,6,9245,0.68
14.43,5.2,2,2892,0.7
14.43,1.97,5,10827,0.68
14.2,0.73,8,16169,0.67
14.43,10.33,3,1983,0.59
14.13,2.9,17,25085,0.58
14.13,2.27,3,1968,0.69
14.03,7.3,3,1688,0.65
14.03,7.7,2,1976,0.89
13.8,12.97,2,4154,0.4
13.8,9.2,6,4824,0.57
13.8,0.9,27,33730,0.66
12.87,2.63,4,8636,0.45
13.17,4.8,3,4659,0.76
12.63,3.8,2,1312,0.3
12.87,0.07,65,75026,0.69
12.63,8.13,3,5242,0.82
12.87,0.13,6,9870,0.53
12.63,4.17,2,4570,0.7
12.4,3.1,7,12511,0.65
12.4,1.77,5,9176,0.67
