number,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,original_c,original_i,original_o,stander_c,stander_i,stander_o,total
10001,3,4,2,3,1,2,2,2,1,4,1,3,3,2,3,1,1,2,3,4,3,3,3,4,4,2,1,1,4,9,14,16,3,7,8,39
10003,2,4,3,3,3,2,4,4,1,1,4,5,2,3,2,3,1,2,2,2,3,1,3,4,3,3,1,2,2,12,9,13,5,2,7,34
10005,2,5,5,3,3,2,3,5,3,2,1,5,1,3,4,2,2,2,3,2,1,4,4,2,2,1,2,3,2,12,9,14,5,2,7,35
10006,3,4,2,3,3,2,3,5,2,2,1,2,2,3,2,2,2,1,2,3,3,2,3,2,2,2,3,4,2,13,9,17,5,2,9,39
10007,2,4,2,4,3,5,2,3,3,4,3,3,4,3,3,3,1,1,3,3,3,1,3,2,3,2,3,3,4,11,10,15,4,5,8,36
10008,5,6,5,5,3,5,3,3,2,1,5,3,5,4,3,4,2,1,2,3,1,1,2,4,4,3,1,3,3,13,9,12,5,2,6,34
10010,2,4,5,4,3,4,2,3,2,5,1,2,3,3,2,3,1,4,2,3,3,1,2,2,2,3,1,1,1,11,16,12,4,8,6,39
10011,3,1,3,2,1,1,5,3,2,5,1,3,5,2,2,4,1,3,2,2,3,4,2,2,3,2,5,1,2,10,12,13,4,6,7,35
10012,2,4,2,3,3,3,2,2,2,5,2,2,5,2,2,4,1,3,2,2,3,3,2,2,3,2,5,1,2,11,8,12,4,3,6,31
10013,5,4,5,4,3,5,3,4,2,1,4,4,4,2,3,2,2,2,2,3,1,2,3,2,3,3,1,1,3,13,8,12,5,3,6,33
10014,3,4,2,4,3,4,2,2,1,5,1,2,4,3,2,4,4,1,2,3,1,3,3,2,4,2,1,1,3,13,5,16,5,1,8,34
10015,2,4,1,4,3,5,3,1,2,5,4,5,4,2,3,3,2,2,2,3,3,2,2,4,3,2,2,1,2,17,6,4,7,2,2,27
10018,1,4,2,3,3,3,5,2,1,4,2,2,2,3,2,3,5,5,2,2,1,1,1,2,1,1,4,1,2,19,8,6,8,3,3,33
10020,5,1,3,3,3,2,3,2,1,1,4,5,5,2,2,4,4,2,2,5,3,4,1,1,1,3,1,2,2,17,10,14,7,5,7,41
10021,2,4,4,4,3,5,3,2,2,3,4,2,2,3,2,4,2,3,2,4,2,3,2,3,2,3,1,2,3,13,11,13,5,5,7,37
10023,2,4,4,4,2,5,3,2,1,5,4,2,2,2,2,4,1,1,2,2,2,3,3,2,2,2,2,1,3,13,7,13,5,3,7,33
10024,2,4,2,4,3,5,3,2,2,5,5,2,2,3,2,2,3,1,2,2,1,1,2,2,2,2,2,3,2,16,5,12,6,1,6,33
10025,3,4,5,5,3,5,3,3,2,5,1,1,4,3,2,4,2,4,2,3,3,2,2,3,3,4,1,1,2,16,7,13,6,3,7,36
10027,3,4,4,4,3,5,4,3,2,3,1,2,2,4,1,3,2,4,5,3,3,3,3,4,2,4,1,1,3,13,10,13,5,5,7,36
10028,2,4,3,4,3,5,3,2,4,3,3,2,4,3,2,4,2,3,2,2,3,3,2,2,2,1,3,2,3,11,10,13,4,5,7,34
10029,3,1,3,4,3,5,2,3,3,5,3,5,4,4,3,4,2,2,5,3,3,3,3,4,4,2,1,3,2,16,6,12,6,2,6,34
10030,2,4,4,3,3,2,2,2,2,2,1,5,3,2,3,3,3,4,3,3,3,2,2,3,3,2,2,1,3,13,9,12,5,2,6,34
10031,2,4,4,3,3,2,2,2,2,2,3,5,4,2,3,3,4,5,3,3,3,2,2,4,2,2,2,1,3,13,10,12,5,5,6,35
10032,2,4,4,3,3,2,2,2,3,2,3,5,4,3,3,3,4,3,3,3,3,2,2,3,3,2,2,1,3,13,10,12,5,5,6,35
10033,2,4,4,3,3,2,2,2,3,2,3,5,4,3,3,3,4,3,3,3,3,2,2,3,3,2,2,1,3,13,9,11,5,2,6,33
10035,2,4,3,4,3,5,3,2,2,2,4,4,4,4,3,5,4,5,3,3,1,1,3,4,3,2,2,1,5,14,4,7,6,1,4,25
10036,2,4,4,3,3,3,2,2,2,2,4,4,4,4,3,5,4,5,3,3,1,1,3,4,3,2,2,1,5,11,10,10,4,5,5,31
10037,2,4,2,4,3,4,3,2,2,4,4,4,4,4,3,3,1,1,3,5,3,2,2,3,3,3,2,1,3,11,15,17,4,8,9,43
10038,2,4,4,4,3,2,2,2,1,2,3,5,4,2,3,4,4,4,3,3,3,3,3,4,3,2,2,1,3,13,6,14,5,2,7,33
10042,1,3,3,3,3,3,3,2,2,5,3,5,5,2,3,3,1,1,1,5,3,1,2,4,2,4,1,3,3,16,6,11,6,2,6,33
10043,2,4,1,4,3,4,2,2,2,5,3,5,4,4,3,4,2,3,2,5,3,2,3,5,3,2,1,3,2,10,5,12,4,1,6,27
10044,3,4,3,3,4,3,2,2,4,5,4,5,5,4,4,3,2,3,3,5,3,3,2,1,2,2,2,1,1,11,8,8,4,3,4,27
10045,2,4,5,4,3,4,3,2,1,4,3,5,4,3,3,1,5,1,2,5,1,2,1,5,5,4,1,1,2,13,9,17,5,2,9,39
10046,1,4,2,4,3,5,3,2,2,5,1,4,5,4,3,4,5,1,2,5,1,2,3,2,3,4,1,3,3,10,12,13,4,6,7,35
10047,3,4,2,5,3,4,3,3,2,5,3,2,5,3,2,4,2,5,2,5,1,1,2,4,4,2,5,4,2,17,8,5,7,3,3,30
10048,1,3,3,4,3,5,4,2,1,4,3,5,5,3,2,3,3,1,2,3,3,1,3,2,3,4,1,3,3,18,8,6,7,3,3,32
10049,3,4,2,3,3,3,3,3,2,5,3,4,5,3,4,1,3,1,5,2,3,1,3,2,3,2,1,3,3,13,9,9,5,2,5,31
10050,2,4,2,3,3,3,2,3,1,5,1,2,4,2,3,4,1,2,2,2,1,1,2,2,2,4,4,4,2,11,9,12,4,2,6,32
10051,3,4,1,3,3,3,2,3,1,5,2,2,5,2,3,1,1,2,2,3,3,1,2,2,2,3,5,1,2,12,10,11,5,5,6,33
10052,2,4,1,5,3,5,3,2,1,5,1,2,4,3,1,3,1,3,2,3,1,4,3,3,3,4,2,1,3,22,7,6,9,3,3,35
10053,3,4,3,4,3,5,2,3,2,5,5,2,3,2,2,4,2,3,1,3,3,2,2,3,2,3,5,1,2,17,4,7,7,1,4,28
10055,2,4,3,4,3,5,2,2,1,2,1,2,2,3,1,4,2,3,2,3,3,2,2,2,1,1,2,1,1,18,9,11,7,2,6,38
10056,2,4,2,4,4,2,3,2,2,5,4,5,5,2,3,4,1,3,2,2,1,2,2,3,2,2,2,1,2,11,14,9,4,7,5,34
10057,2,4,5,4,3,5,2,2,1,5,5,4,5,3,2,5,1,4,2,1,1,1,2,2,4,2,5,6,1,17,10,7,7,5,4,34
10059,3,4,2,3,3,1,2,2,3,2,4,2,1,3,1,1,1,3,2,2,1,1,3,3,3,4,4,1,2,11,8,14,4,3,7,33
10061,2,3,4,3,3,3,3,3,1,5,2,2,4,4,3,4,1,2,2,3,1,2,2,2,3,2,3,4,2,14,7,11,6,3,6,32
10063,3,4,2,3,3,4,2,2,2,4,4,4,4,2,3,4,3,3,2,3,3,2,3,2,3,2,1,1,3,13,9,10,5,2,5,32
10064,3,4,5,3,3,2,3,2,2,4,1,3,4,3,3,4,2,4,2,3,3,2,2,3,3,2,2,1,3,12,4,12,5,1,6,28
10065,3,4,4,2,1,1,3,3,2,4,4,2,4,3,3,3,2,2,5,3,3,2,2,3,2,4,2,1,2,17,10,8,7,5,4,35
10066,3,4,2,3,3,3,2,2,2,5,1,4,5,3,3,4,1,3,2,3,3,1,3,2,3,2,3,1,3,12,12,16,5,6,8,40
10067,2,2,2,4,3,5,4,4,1,4,5,5,5,2,3,4,1,4,2,3,3,2,2,3,3,4,5,3,3,9,8,10,3,3,5,27
10068,2,4,2,4,3,5,2,2,2,4,3,2,4,3,2,4,3,4,2,3,1,2,3,2,2,3,3,4,2,13,5,15,5,1,8,33
10069,2,4,3,3,4,4,4,3,3,4,3,2,2,2,2,3,3,2,2,1,1,2,3,3,3,3,4,3,4,10,6,12,4,2,6,28
10071,2,4,5,4,3,5,3,2,3,4,2,4,4,2,2,4,5,2,2,2,3,2,2,3,3,4,1,1,2,15,11,10,6,5,5,36
10072,2,4,2,4,3,5,3,1,1,4,1,4,4,2,2,2,3,2,2,3,3,1,2,3,2,1,1,3,2,20,11,7,8,5,4,38
10073,2,4,5,4,3,5,3,1,2,4,4,5,5,4,2,4,3,2,5,3,3,1,1,3,2,2,1,3,2,18,10,11,7,5,6,39
10074,2,4,1,4,3,5,3,1,1,5,5,5,3,3,3,2,5,4,2,3,1,1,2,2,3,2,5,6,3,20,5,4,8,1,2,29
10075,2,4,1,4,3,5,4,1,1,5,5,2,4,3,2,4,2,3,2,3,3,2,2,3,3,2,1,2,2,14,10,11,6,5,6,35
10076,2,4,3,4,3,5,3,2,2,5,5,5,5,4,2,4,3,4,2,3,3,2,2,2,3,3,1,1,2,16,4,14,6,1,7,34
10078,5,4,3,4,3,2,5,2,1,5,3,4,5,3,2,4,2,1,3,1,3,3,2,2,2,2,2,1,3,10,8,12,4,3,6,30
10079,5,4,2,4,3,5,4,2,4,2,3,5,5,4,4,3,2,2,3,3,1,2,2,2,2,2,3,1,2,13,17,13,5,9,7,43
10080,2,4,3,4,3,5,3,2,2,5,1,4,5,4,3,4,2,1,2,2,3,1,2,3,3,2,1,1,3,12,7,10,5,3,5,29
10081,3,4,2,2,2,1,3,3,1,3,3,4,5,2,2,4,2,3,3,3,3,2,2,3,3,2,2,4,3,10,9,12,4,2,6,31
10082,2,4,3,4,3,5,2,1,1,3,3,4,4,2,2,1,2,3,3,3,1,2,2,2,3,2,2,4,3,10,9,11,4,2,6,30
10084,2,4,3,4,3,3,2,2,1,1,1,3,4,3,2,4,2,3,2,2,1,1,1,5,1,1,2,3,2,14,13,12,6,6,6,39
10086,2,4,3,4,3,5,3,2,1,5,1,2,4,3,2,4,2,3,2,3,1,1,2,5,1,1,1,3,2,19,14,5,8,7,3,38
10087,2,4,4,4,3,5,3,3,2,5,3,4,4,3,3,4,2,3,5,3,3,1,2,3,3,2,2,3,2,14,8,14,6,3,7,36
10088,3,4,3,2,2,2,3,4,2,5,3,4,4,4,4,4,2,3,5,5,3,1,2,3,3,2,1,3,3,13,8,13,5,3,7,34
10089,3,4,3,4,3,5,2,3,1,1,1,3,3,3,2,4,2,3,2,1,1,1,1,5,1,1,5,3,2,14,10,8,6,5,4,32
10092,3,4,2,4,3,1,3,3,2,2,4,3,4,3,2,4,1,4,2,2,1,1,1,4,2,3,1,3,2,16,11,16,6,5,8,43
10097,2,4,1,3,3,2,2,1,2,2,3,5,5,3,4,4,2,1,2,3,1,1,2,4,2,2,1,3,2,14,8,8,6,3,4,30
10098,2,4,3,4,3,5,3,3,2,5,1,5,4,3,2,5,1,3,2,3,3,3,2,5,3,2,3,3,3,13,5,12,5,1,6,30
10099,2,4,2,4,3,5,3,2,1,5,5,5,5,1,4,4,2,1,3,5,1,2,2,1,4,3,1,1,3,14,12,12,6,6,6,38
10100,2,2,5,4,3,5,3,2,1,4,3,3,2,4,3,4,2,3,2,3,2,2,1,5,3,3,1,3,2,12,8,7,5,3,4,27
10101,2,3,5,4,1,5,3,1,1,5,5,2,3,2,2,4,4,3,2,3,3,2,3,5,2,1,1,1,3,14,6,11,6,2,6,31
10102,2,2,3,5,3,5,3,3,1,5,1,4,4,2,3,3,3,1,3,5,3,2,1,1,2,2,1,1,3,15,9,9,6,2,5,33
10103,3,3,4,3,3,3,2,3,2,5,1,3,5,4,3,2,1,3,1,3,3,2,3,2,2,2,1,1,3,10,12,12,4,6,6,34
10104,2,3,1,4,3,5,2,1,1,1,2,5,5,3,2,4,2,5,2,3,3,1,2,4,2,2,2,1,2,17,8,8,7,3,4,33
10108,1,2,1,4,3,5,2,1,1,2,3,5,3,3,3,4,2,3,2,3,3,3,2,3,3,2,1,1,2,16,9,10,6,2,5,35
10109,5,3,3,4,3,3,3,3,1,1,1,5,2,2,2,1,1,1,2,2,1,2,1,2,2,1,1,1,5,12,8,9,5,3,5,29
10111,5,1,3,5,3,3,4,4,3,5,4,3,4,4,3,1,4,1,5,5,3,2,2,2,4,2,1,3,3,11,6,17,4,2,9,34
10113,5,1,5,2,1,1,5,5,1,1,5,4,2,2,2,4,2,1,2,1,1,2,3,1,2,1,3,1,4,17,10,6,7,5,3,33
10114,2,5,3,5,3,5,2,3,1,5,1,4,4,2,2,4,2,1,2,3,3,4,2,2,2,1,1,1,2,19,6,6,8,2,3,31
10115,2,1,3,5,3,4,3,2,1,5,1,2,5,4,4,1,3,3,3,5,3,2,3,2,4,2,3,1,3,13,7,13,5,3,7,33
10117,2,1,2,4,3,5,2,2,3,5,3,4,4,2,4,4,3,3,2,4,3,3,2,3,4,2,2,1,3,17,4,12,7,1,6,33
10118,5,1,3,5,3,5,4,2,1,1,5,4,4,2,3,3,2,4,2,3,1,1,2,1,2,3,5,1,2,18,7,10,7,3,5,35
10119,2,4,3,4,3,4,3,3,2,3,1,2,2,3,2,3,2,3,2,3,1,2,2,4,3,2,2,4,1,16,13,12,6,6,6,41
10121,2,4,3,4,3,5,3,3,1,5,1,3,5,2,3,4,2,1,2,3,1,1,3,3,4,2,2,3,3,13,4,9,5,1,5,26
10123,2,4,3,4,3,4,3,3,2,4,3,3,5,2,3,4,2,2,2,3,3,1,3,4,4,2,1,3,3,13,8,11,5,3,6,32
10125,2,4,5,4,3,5,3,3,2,5,5,5,4,2,2,4,2,1,2,3,1,1,3,4,3,2,1,3,4,11,3,8,4,1,4,22
10126,3,4,2,3,3,1,2,3,2,5,3,3,5,4,3,3,2,2,5,3,3,2,3,3,1,2,1,3,4,10,7,11,4,3,6,28
10128,5,4,3,4,3,4,3,4,2,2,5,3,3,4,2,3,2,4,2,3,3,2,2,4,3,3,2,1,2,14,10,10,6,5,5,34
10129,3,1,2,4,3,1,2,2,1,2,3,4,5,3,2,5,4,3,2,1,1,1,2,1,2,2,1,3,1,16,10,3,6,5,2,29
10131,2,1,5,5,3,5,3,1,1,5,3,4,4,3,2,2,4,1,2,3,1,3,3,2,3,3,5,3,4,10,10,14,4,5,7,34
10134,3,1,3,5,3,5,3,3,1,4,1,2,4,2,3,3,4,3,5,3,2,2,2,3,4,2,1,6,2,16,15,9,6,8,5,40
10135,2,1,5,4,3,5,3,4,2,5,3,4,4,3,3,3,2,1,2,3,1,1,2,2,4,2,1,2,3,12,8,10,5,3,5,30
10136,2,1,2,4,1,5,3,1,2,5,1,4,4,3,3,5,5,3,5,3,3,2,2,2,3,4,1,2,2,14,10,11,6,5,6,35
10137,2,1,5,4,3,5,3,1,1,5,3,4,5,1,3,4,5,5,2,3,1,2,2,2,4,2,1,2,3,15,11,12,6,5,6,38
20001,3,3,3,3,3,3,3,2,2,3,1,4,3,3,2,4,1,2,2,3,3,3,2,2,2,2,2,1,2,14,11,11,6,5,6,36
20003,2,3,3,4,3,4,3,2,2,3,3,2,3,3,2,4,1,1,2,3,3,3,2,2,2,2,2,1,2,15,12,7,6,6,4,34
20004,2,2,3,3,3,3,4,2,1,2,2,2,3,3,2,4,1,1,2,3,3,3,2,2,2,2,5,1,2,15,5,13,6,1,7,33
20006,3,1,1,4,3,4,3,3,1,2,1,4,3,3,2,4,1,2,2,2,1,2,2,2,2,2,5,1,2,14,12,13,6,6,7,39
20007,2,3,3,3,3,3,4,3,1,1,1,2,2,3,2,4,2,1,2,2,1,2,2,2,1,1,5,1,1,13,10,9,5,5,5,32
20008,2,1,1,3,3,3,4,3,1,2,1,2,3,3,2,4,1,1,1,2,1,2,2,2,2,2,5,1,1,15,12,10,6,6,5,37
20009,2,3,3,4,3,2,4,2,2,3,1,2,2,3,2,4,2,1,1,2,3,3,2,2,2,2,5,1,2,12,11,11,5,5,6,34
20010,2,3,3,3,3,3,4,2,2,3,1,2,3,3,2,4,1,1,2,3,1,1,2,2,2,1,5,1,2,15,13,15,6,6,8,43
20011,2,1,3,3,3,3,4,2,2,5,3,3,4,3,3,2,1,3,2,3,3,3,3,4,4,2,3,1,3,11,10,15,4,5,8,36
20012,3,1,2,2,1,1,2,3,2,4,4,4,4,4,4,2,3,1,3,3,2,3,4,4,3,2,3,3,4,10,19,13,4,10,7,42
20013,2,1,1,3,3,3,2,2,1,5,3,5,5,3,3,1,1,3,3,5,3,2,4,3,2,2,3,1,3,13,8,15,5,3,8,36
20014,2,2,4,2,3,3,2,4,1,5,1,4,4,3,3,4,3,4,2,5,1,1,2,4,3,2,3,3,3,14,6,9,6,2,5,29
20015,2,1,5,4,3,3,3,2,1,5,1,2,3,3,2,4,2,1,2,3,1,2,2,2,3,3,1,1,2,17,7,12,7,3,6,36
20016,2,4,3,4,3,5,3,1,1,5,5,4,2,4,2,4,5,1,2,3,1,1,3,1,2,2,1,3,2,11,12,14,4,6,7,37
20017,2,1,3,3,4,3,2,2,2,5,1,3,4,3,4,3,3,3,2,3,3,3,3,5,4,2,3,4,4,14,11,13,6,5,7,38
20019,2,4,3,5,3,5,3,1,1,5,3,2,2,3,3,4,2,4,1,3,3,1,3,2,3,3,1,1,2,16,7,13,6,3,7,36
20021,3,4,2,4,3,2,2,2,3,4,1,1,3,2,2,3,2,2,5,3,3,2,3,1,3,2,2,1,5,12,8,15,5,3,8,35
20022,2,4,2,3,3,3,3,2,2,4,3,5,4,2,4,4,4,3,5,3,3,2,3,2,3,2,1,1,3,13,8,13,5,3,7,34
20023,2,4,2,4,3,4,3,2,1,2,1,4,2,3,3,4,1,1,2,2,1,4,1,1,2,2,1,4,2,15,7,15,6,3,8,37
20024,2,4,2,4,3,4,2,2,1,5,3,5,5,4,3,3,1,1,2,5,1,1,3,4,2,2,1,1,3,14,8,15,6,3,8,37
20025,2,4,2,4,3,4,4,3,2,4,5,5,3,2,4,1,2,1,2,3,1,4,1,2,2,2,1,1,2,15,9,15,6,2,8,39
20026,1,4,3,2,2,1,3,3,3,4,2,2,4,2,4,3,1,1,3,2,2,5,3,3,3,2,3,1,3,10,11,11,4,5,6,32
20028,3,4,1,4,3,3,2,2,1,3,1,2,2,4,3,3,2,4,5,3,3,3,2,2,3,2,3,1,2,11,15,16,4,8,8,42
20029,2,4,4,4,4,5,3,2,5,5,3,5,5,1,4,4,2,5,2,5,2,1,2,1,4,2,1,3,5,12,8,15,5,3,8,35
20032,2,1,5,4,3,5,2,1,1,5,4,4,4,3,3,3,5,2,2,3,1,1,2,3,4,5,2,6,3,18,5,8,7,1,4,31
20034,2,1,1,3,3,4,2,1,2,5,3,4,4,4,3,4,2,1,2,5,1,2,4,4,3,1,2,1,5,16,8,7,6,3,4,31
20036,1,1,2,3,3,2,3,3,2,3,1,4,4,2,2,2,1,4,2,3,3,1,2,3,2,4,1,1,2,16,9,15,6,2,8,40
20037,2,1,2,4,3,5,3,1,1,5,4,5,5,3,3,4,2,1,2,3,1,1,2,2,3,2,2,1,2,18,9,14,7,2,7,41
20039,5,3,3,4,3,3,4,3,2,4,1,5,4,4,3,4,2,2,3,5,3,2,2,3,3,2,1,1,4,14,10,11,6,5,6,35
20042,2,1,1,3,3,2,4,1,1,4,3,5,5,2,2,4,2,5,2,4,1,1,5,4,1,1,3,1,1,19,18,11,8,10,6,48
20043,1,3,2,5,3,5,4,2,2,4,2,5,5,5,2,3,4,2,5,3,3,1,2,3,4,2,1,3,2,15,11,12,6,5,6,38
20044,5,6,5,5,3,5,4,3,1,1,5,1,5,4,2,4,2,3,2,3,2,5,2,4,3,1,1,3,3,18,8,14,7,3,7,40
20045,5,1,2,4,3,4,4,2,2,2,5,4,4,3,3,2,1,1,2,3,3,5,2,3,4,2,1,1,3,14,6,13,6,2,7,33
20046,3,2,2,3,3,2,4,3,3,2,2,5,2,2,2,3,2,1,1,1,2,2,2,3,3,3,3,3,3,12,9,13,5,2,7,34
20048,3,3,4,4,4,3,3,3,3,2,2,5,2,3,1,2,2,3,3,2,2,3,3,2,2,3,3,2,2,12,8,16,5,3,8,36
20049,3,2,3,3,3,2,3,3,3,2,2,2,2,2,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,7,7,12,2,3,6,26
20050,3,2,2,2,2,1,3,3,3,2,3,2,2,3,2,3,4,4,3,4,4,3,3,2,2,2,3,3,2,15,11,15,6,5,8,41
20051,2,4,4,4,3,2,3,3,3,2,2,5,3,2,2,3,2,2,2,2,5,3,3,2,2,3,2,4,3,11,9,11,4,2,6,31
20052,3,2,2,3,3,3,3,2,2,4,3,2,2,2,2,3,3,2,3,3,2,2,3,3,3,2,3,2,3,13,10,13,5,5,7,36
20053,3,4,5,3,3,2,4,3,2,3,1,4,4,3,3,3,3,1,2,2,2,1,2,2,2,2,2,1,3,15,5,13,6,1,7,33
20054,2,4,5,4,3,5,3,2,1,5,1,4,4,3,3,3,3,1,3,3,1,2,2,3,3,2,1,3,3,13,12,13,5,6,7,38
20056,3,2,2,2,3,2,3,3,1,5,1,1,3,5,1,5,5,4,2,1,3,1,1,2,1,3,5,6,2,21,9,8,9,2,4,38
20057,3,2,3,3,3,3,3,4,3,4,4,4,4,3,3,5,1,5,2,3,2,2,2,2,3,2,3,1,3,19,2,13,8,1,7,34
20059,2,2,2,4,3,5,4,3,2,4,4,5,5,4,3,4,2,1,2,5,2,2,3,1,3,4,3,1,4,21,9,7,9,2,4,37
20060,2,2,5,4,3,5,3,3,1,5,2,2,4,2,1,5,3,5,2,3,3,1,2,4,3,1,5,3,1,19,4,6,8,1,3,29
20061,3,2,4,2,2,1,4,4,1,4,4,5,4,4,2,4,2,1,2,2,3,1,2,3,2,2,5,1,1,17,6,7,7,2,4,30
20065,2,2,4,3,3,2,3,2,1,5,3,5,5,2,3,4,2,3,5,3,3,2,3,3,3,2,5,1,2,17,7,10,7,3,5,34
20067,2,2,5,5,1,5,3,1,1,3,2,1,1,3,1,5,5,5,2,3,3,3,2,2,3,3,5,6,2,13,10,12,5,5,6,35
20069,3,2,3,3,3,1,3,4,3,4,4,3,3,3,3,1,1,4,2,5,3,2,3,2,4,2,3,1,3,18,8,12,7,3,6,38
20070,2,4,2,4,3,5,3,3,3,5,1,5,5,1,3,5,3,2,2,3,1,2,3,2,3,3,2,1,3,13,2,12,5,1,6,27
20071,2,4,4,4,3,5,3,2,2,5,3,5,5,3,3,4,1,3,2,3,1,2,2,2,3,2,1,1,2,15,12,9,6,6,5,36
20072,2,4,1,4,3,5,3,2,2,4,3,5,5,3,3,4,1,3,2,3,1,2,2,3,3,2,1,1,2,15,8,10,6,3,5,33
20073,3,4,4,4,3,3,2,3,3,5,3,5,4,2,3,4,5,2,2,3,3,2,1,4,3,2,1,3,3,10,8,14,4,3,7,32
20074,3,4,3,4,3,5,3,2,2,4,3,3,5,3,2,3,2,3,5,3,3,2,2,3,3,2,3,1,2,12,9,13,5,2,7,34
20078,3,4,2,4,3,5,2,3,3,4,3,5,4,4,4,4,3,3,5,5,3,2,2,3,3,2,3,3,3,11,10,9,4,5,5,30
20079,3,4,2,4,3,5,2,3,3,4,3,5,4,4,4,4,3,3,5,5,3,2,2,3,3,2,3,3,3,11,10,9,4,5,5,30
20080,2,1,1,4,3,5,3,2,1,4,1,5,4,2,3,3,4,1,2,2,1,1,3,2,3,2,2,4,3,16,4,9,6,1,5,29
20081,2,1,1,4,3,5,2,2,1,5,5,5,5,3,4,4,2,1,2,3,1,1,2,1,4,2,3,3,2,11,6,12,4,2,6,29
20087,3,1,3,3,3,1,3,2,1,5,1,2,2,3,1,4,1,4,2,3,3,5,2,2,2,2,4,1,1,15,12,14,6,6,7,41
20088,3,1,2,4,3,2,2,3,2,4,1,2,2,3,2,3,1,1,2,3,3,2,3,1,1,3,1,1,2,18,7,9,7,3,5,34
20089,3,1,2,4,3,1,1,2,1,2,4,4,4,2,4,3,2,4,3,4,3,2,4,5,4,2,1,3,4,21,6,18,9,2,9,45
30001,2,2,2,3,3,2,2,1,3,3,3,5,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,5,3,10,10,15,4,5,8,35
30002,2,4,4,3,3,3,3,3,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30003,2,1,2,2,3,3,4,1,3,3,3,5,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,13,11,13,5,5,7,37
