number,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,original_c,original_i,original_o,stander_c,stander_i,stander_o,total
30004,2,1,3,3,3,3,3,4,3,3,3,5,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30005,2,4,4,4,3,4,4,1,3,3,3,5,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30006,2,1,3,3,3,3,4,1,3,3,3,5,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30007,2,2,2,2,3,2,5,1,3,3,3,5,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30008,3,3,2,3,3,2,5,2,1,4,3,2,5,4,3,1,1,1,2,3,1,1,3,3,3,2,4,3,3,18,8,10,7,3,5,36
30009,2,1,3,2,3,1,5,1,2,3,4,3,5,4,3,3,2,1,3,3,1,2,3,2,3,2,4,3,3,16,3,6,6,1,3,25
30010,2,2,2,2,3,2,4,2,3,4,3,5,2,3,2,3,2,3,3,3,3,2,3,3,3,2,3,2,3,13,9,12,5,2,6,34
30011,2,4,1,3,3,2,5,2,3,3,3,2,2,3,2,2,3,3,3,2,2,3,3,2,3,2,3,2,2,14,9,13,6,2,7,36
30012,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,2,3,2,3,2,3,4,4,2,3,12,11,13,5,5,7,36
30014,2,1,3,3,3,3,3,3,3,3,3,5,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,3,13,10,13,5,5,7,36
30015,2,2,2,2,2,2,5,2,3,3,3,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30016,2,2,3,3,3,3,4,4,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,13,10,13,5,5,7,36
30017,2,4,4,3,3,4,4,3,4,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,5,3,13,10,13,5,5,7,36
30018,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,3,13,10,13,5,5,7,36
30019,2,2,2,3,3,3,4,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,13,10,13,5,5,7,36
30020,2,1,2,3,3,3,1,1,1,3,4,5,4,4,1,2,1,2,5,1,1,2,1,3,2,4,5,2,2,16,12,13,6,6,7,41
30021,3,1,2,4,3,3,5,3,3,5,4,4,5,2,4,3,1,1,2,3,3,3,3,2,3,2,3,3,5,14,4,12,6,1,6,30
30022,2,2,2,3,3,2,5,1,1,5,4,4,5,3,4,1,1,1,2,3,1,1,2,1,1,1,1,2,2,11,11,13,4,5,7,35
30024,3,1,2,2,1,1,5,3,1,3,3,2,5,3,4,1,3,1,2,3,1,2,3,2,1,4,3,2,2,13,10,14,5,5,7,37
30025,1,2,2,4,3,5,5,2,1,1,1,4,5,5,3,5,5,5,1,3,1,1,1,3,3,2,5,6,2,13,10,13,5,5,7,36
30026,2,2,2,5,3,5,4,2,1,1,1,5,5,5,3,5,5,5,3,3,1,1,2,1,1,2,5,6,2,14,10,13,6,5,7,37
30027,3,2,2,3,3,3,5,1,1,1,1,4,5,4,3,5,5,5,2,3,1,1,1,1,1,1,5,6,2,12,7,14,5,3,7,33
30028,2,3,5,4,3,5,5,2,1,5,5,3,4,4,3,4,1,5,1,3,1,5,1,5,3,2,5,6,2,19,7,6,8,3,3,32
30030,2,1,3,3,3,4,2,1,1,1,4,4,3,2,1,2,3,2,2,3,3,3,3,3,3,1,3,1,3,13,9,16,5,2,8,38
30031,2,3,3,4,3,4,4,2,1,1,1,4,4,2,2,2,3,3,3,1,3,2,3,3,2,2,2,3,2,15,8,14,6,3,7,37
30033,2,3,3,4,3,4,4,1,1,1,3,5,5,2,5,4,4,3,4,4,4,2,3,2,4,2,1,3,4,13,10,13,5,5,7,36
30034,2,3,3,3,3,2,5,2,1,1,1,2,4,4,3,2,3,2,2,2,2,3,2,3,3,2,1,2,2,13,11,10,5,5,5,34
30035,2,2,2,4,3,5,4,2,1,5,5,5,5,4,3,1,5,2,2,3,1,5,2,3,3,1,4,1,3,15,6,12,6,2,6,33
30036,2,2,4,4,3,5,3,1,1,5,2,5,5,2,2,1,1,1,2,3,3,1,2,4,4,2,5,1,5,17,9,9,7,2,5,35
30037,2,3,3,4,3,5,5,2,2,4,2,4,4,4,4,1,1,1,2,3,1,1,2,2,3,1,5,1,2,16,8,7,6,3,4,31
30038,3,3,5,2,3,1,5,1,1,1,2,2,5,2,5,1,1,4,2,4,3,3,3,3,2,2,3,2,2,11,10,11,4,5,6,32
30041,2,3,3,5,3,5,2,2,1,1,3,3,4,2,3,4,2,4,5,3,3,1,3,1,4,4,1,5,3,15,7,14,6,3,7,36
30043,3,3,3,2,3,2,5,2,1,1,4,2,5,2,1,1,4,2,4,4,3,1,4,4,4,2,1,3,4,12,10,14,5,5,7,36
30045,1,1,3,4,3,5,5,3,1,5,1,5,4,4,2,2,1,1,2,2,1,1,2,4,4,2,3,3,2,19,6,6,8,2,3,31
30046,2,1,2,4,3,5,5,2,1,5,1,3,4,3,2,3,2,4,2,3,1,1,2,3,2,2,3,1,3,14,10,15,6,5,8,39
30048,2,3,5,4,3,4,4,1,1,5,1,3,4,3,3,1,3,1,3,3,2,1,3,2,3,3,3,4,3,15,12,16,6,6,8,43
30049,2,1,2,4,3,5,4,3,1,5,2,1,4,2,4,2,3,1,3,3,3,1,2,2,3,2,4,3,5,12,8,11,5,3,6,31
30050,2,1,2,5,3,5,4,2,1,4,4,5,5,2,4,2,1,3,2,4,1,4,3,1,2,1,4,3,2,11,11,13,4,5,7,35
30051,2,3,4,4,3,5,4,1,2,5,3,5,5,2,3,4,1,1,2,5,2,1,4,1,4,1,3,3,5,14,10,6,6,5,3,30
30052,3,3,2,3,3,1,5,3,1,5,1,4,3,3,4,4,3,4,3,3,2,1,3,3,3,2,3,3,2,15,10,11,6,5,6,36
30053,2,1,2,4,3,5,5,1,1,2,5,5,5,4,4,2,5,1,2,5,1,1,1,1,1,2,3,5,2,13,10,11,5,5,6,34
30054,3,1,3,2,1,1,5,3,1,5,1,5,5,3,3,4,2,1,2,3,1,3,3,3,2,1,2,1,3,10,10,14,4,5,7,34
30055,2,1,2,4,3,5,5,2,2,5,5,3,5,4,4,1,2,4,3,5,1,1,3,2,4,2,4,3,3,12,9,11,5,2,6,32
30056,2,1,2,2,2,2,5,1,1,5,1,2,4,4,2,1,1,3,2,3,3,1,2,3,3,2,1,1,2,17,8,12,7,3,6,37
30057,2,1,5,2,2,1,5,3,2,5,2,4,4,4,4,1,2,4,3,3,1,1,3,2,2,2,5,3,3,13,9,11,5,2,6,33
30058,2,1,3,4,3,5,5,2,1,5,1,4,2,3,3,4,2,3,2,3,1,4,2,2,2,3,3,1,2,12,13,12,5,6,6,37
30059,2,3,3,3,3,2,5,2,2,5,1,5,5,3,3,1,3,2,2,3,2,4,3,2,3,2,4,1,4,11,13,13,4,6,7,37
30060,2,1,4,3,3,2,5,1,1,1,3,4,4,3,4,3,1,1,3,3,3,1,1,1,2,2,1,1,3,20,5,8,8,1,4,33
30061,2,2,2,4,3,4,5,1,1,5,1,3,5,3,3,1,1,4,2,2,2,1,1,1,3,2,4,1,2,17,5,8,7,1,4,30
30062,2,1,2,3,3,2,5,2,1,1,2,3,2,2,4,4,1,1,2,3,1,2,1,3,2,1,3,2,3,15,10,12,6,5,6,37
30063,2,3,2,2,3,1,5,2,1,4,3,2,5,3,4,4,1,4,4,3,1,1,3,4,3,2,4,1,5,15,8,10,6,3,5,33
30064,2,1,2,3,3,2,5,2,2,1,1,2,1,2,2,1,1,5,2,2,1,1,2,2,2,2,4,2,1,12,9,14,5,2,7,35
30065,2,1,2,4,3,4,5,2,4,5,1,5,4,4,4,3,2,1,3,5,3,2,1,1,2,2,1,1,1,12,13,12,5,6,6,37
30066,1,1,1,3,3,3,5,3,1,5,3,3,1,2,4,4,2,1,2,2,1,1,2,2,3,3,3,2,2,13,12,10,5,6,5,35
30067,2,1,2,4,3,5,5,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,13,9,12,5,2,6,34
30068,1,1,3,3,3,3,5,3,1,5,4,3,2,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,17,12,11,7,6,6,40
30069,2,2,4,4,3,4,5,3,2,5,3,3,3,4,4,4,2,1,2,3,2,1,2,1,2,2,3,1,2,12,7,11,5,3,6,30
30070,3,1,3,2,2,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,8,15,5,3,8,35
30071,2,4,2,4,3,5,5,3,1,1,1,3,4,2,1,1,1,1,1,2,2,1,1,2,3,1,1,1,2,14,0,9,6,1,5,23
30072,2,3,1,4,3,5,4,2,2,5,2,4,2,3,2,4,5,2,2,2,1,2,2,2,1,2,3,1,2,17,12,10,7,6,5,39
30075,3,1,3,2,1,1,5,3,1,3,5,4,5,3,3,1,2,1,2,3,3,2,3,1,2,2,2,1,2,14,9,11,6,2,6,34
30076,3,4,3,2,2,1,4,3,2,4,1,2,4,3,3,4,3,2,2,3,3,2,3,2,3,1,2,1,2,16,13,11,6,6,6,40
30077,1,1,1,3,3,3,5,3,2,5,4,3,1,1,1,2,2,2,3,3,3,1,1,1,3,3,3,1,1,12,10,14,5,5,7,36
30079,2,1,4,3,3,3,5,2,1,1,3,4,5,3,4,1,3,4,5,3,1,1,2,1,2,2,2,3,2,16,8,16,6,3,8,40
30080,3,3,2,2,2,1,5,3,2,4,3,4,4,2,2,2,2,2,2,1,1,2,2,1,2,3,2,1,2,14,5,13,6,1,7,32
30081,3,2,2,2,2,1,5,3,2,4,3,4,4,2,2,2,2,2,2,2,1,1,2,1,2,3,2,1,2,14,5,13,6,1,7,32
30084,1,1,2,4,3,5,4,2,2,4,5,2,4,4,2,4,1,1,2,3,1,1,3,3,3,1,2,3,3,11,4,6,4,1,3,21
30090,1,1,4,4,3,4,4,2,2,5,3,5,5,4,3,3,2,3,3,4,1,2,4,1,2,2,4,4,3,14,12,14,6,6,7,40
30091,3,1,3,3,3,2,5,3,2,5,5,5,5,4,3,3,2,3,2,3,1,2,2,1,2,2,4,4,3,12,11,16,5,5,8,39
30092,1,1,2,4,3,4,4,2,1,5,3,5,4,4,3,4,2,3,2,4,1,2,2,1,1,2,4,2,3,15,11,14,6,5,7,40
30095,1,1,2,2,1,1,5,3,1,5,2,2,3,3,2,4,1,1,2,3,1,1,3,2,2,2,3,1,2,14,4,12,6,1,6,30
30096,2,1,3,3,3,3,5,2,1,4,1,3,4,3,2,2,1,1,2,2,1,1,2,2,2,2,3,1,2,16,10,11,6,5,6,37
30098,2,1,3,3,3,2,5,2,1,4,1,3,4,3,3,1,2,1,1,2,1,1,2,2,2,2,3,1,2,20,2,11,8,1,6,33
30099,2,1,4,4,3,2,5,2,1,4,2,3,4,3,2,1,2,1,2,2,1,1,2,2,2,2,4,1,2,15,10,9,6,5,5,34
30100,2,1,3,2,3,2,5,2,1,4,2,3,4,3,3,1,1,1,1,3,1,1,1,2,2,3,4,4,3,18,9,17,7,2,9,44
30101,2,1,2,3,3,3,5,2,1,5,1,3,3,3,3,1,1,1,2,2,1,1,2,2,2,2,4,1,2,13,6,7,5,2,4,26
30102,2,1,2,3,3,3,5,2,1,5,1,3,4,3,3,1,1,1,2,2,1,1,2,2,2,2,3,1,2,21,9,9,9,2,5,39
30103,2,1,2,2,3,1,5,3,1,5,1,3,4,3,3,1,1,1,2,2,1,1,2,2,3,1,3,1,2,19,7,8,8,3,4,34
30105,2,1,3,4,3,4,4,2,2,5,1,4,4,4,3,3,3,3,3,3,3,1,3,2,2,2,4,3,3,18,8,17,7,3,9,43
30106,1,1,2,3,3,3,4,3,2,5,1,5,4,4,3,3,2,1,3,3,3,1,3,2,3,2,4,3,2,14,12,11,6,6,6,37
30107,2,1,2,4,3,5,4,2,1,5,2,1,4,4,4,3,2,4,3,3,1,1,3,2,2,3,4,1,2,17,10,15,7,5,8,42
30108,2,1,3,3,3,3,5,3,2,5,2,4,5,5,3,3,2,1,3,3,2,1,3,2,2,2,4,1,2,18,3,12,7,1,6,33
30109,1,1,2,3,3,2,5,2,1,5,2,4,5,4,4,1,2,4,2,3,2,1,2,1,1,2,4,1,2,18,13,11,7,6,6,42
30110,1,1,2,4,3,5,5,1,1,5,1,4,5,4,2,1,3,4,2,3,1,1,3,3,2,3,4,1,5,19,1,8,8,1,4,28
30111,2,4,2,3,3,2,5,2,2,1,2,1,4,1,4,1,2,3,2,2,2,2,2,2,2,2,4,2,5,20,13,9,8,6,5,42
30112,1,1,2,4,3,5,5,2,1,5,2,4,4,4,3,1,2,4,2,3,1,1,2,2,2,1,4,1,2,20,4,11,8,1,6,35
40002,2,1,2,4,3,5,3,2,1,5,4,5,5,3,3,4,1,3,2,3,1,2,2,3,3,3,1,3,2,15,7,7,6,3,4,29
40003,3,1,2,3,3,2,3,2,1,5,3,4,4,4,3,4,1,3,2,5,1,1,3,2,2,2,2,1,1,12,13,14,5,6,7,39
40004,2,1,1,3,3,3,3,2,1,4,3,5,5,3,4,3,2,3,3,3,1,1,3,2,3,4,1,3,4,18,8,11,7,3,6,37
40006,2,1,5,3,3,3,4,2,1,5,1,2,2,3,1,4,3,2,2,3,3,2,3,2,2,2,1,2,1,12,7,12,5,3,6,31
40009,3,1,2,2,3,1,3,4,1,5,5,5,4,2,3,4,2,3,2,3,3,5,2,1,3,2,3,1,3,9,12,17,3,6,9,38
40010,2,1,1,4,3,5,2,3,1,5,3,5,4,2,3,4,3,4,2,5,3,2,2,4,3,2,1,1,1,16,10,9,6,5,5,35
40011,3,1,2,2,1,1,3,5,1,5,3,2,3,3,4,4,2,1,5,2,3,2,2,3,3,2,1,1,2,14,11,9,6,5,5,34
40013,2,1,2,3,3,3,2,2,1,5,4,5,4,3,4,4,2,3,2,5,3,2,2,2,2,2,1,1,3,17,14,10,7,7,5,41
40015,3,1,5,4,3,2,2,1,1,5,2,1,2,1,1,3,3,1,1,3,3,1,5,1,3,3,1,1,3,17,7,4,7,3,2,28
40018,2,1,3,4,3,4,2,2,1,5,3,5,4,2,3,4,1,4,2,1,3,2,2,4,3,2,1,1,1,13,10,10,5,5,5,33
40019,2,1,1,2,3,2,3,1,1,3,3,4,4,3,3,4,2,3,2,3,1,1,2,1,2,2,1,1,2,13,11,11,5,5,6,35
40020,2,1,2,5,3,5,2,2,1,5,3,4,2,2,2,4,1,3,2,3,3,2,2,2,3,2,3,1,2,13,13,16,5,6,8,42
40021,2,1,2,4,3,4,3,2,1,5,3,4,2,2,2,4,1,3,2,3,3,2,2,2,3,2,3,1,2,13,10,14,5,5,7,37
40024,3,1,1,2,3,2,2,2,2,2,4,5,4,3,2,3,1,1,1,3,3,2,2,1,3,2,2,3,2,12,7,11,5,3,6,30
40026,3,1,3,4,3,1,3,3,2,2,3,5,5,3,2,4,1,1,2,5,1,2,2,4,3,3,3,3,2,16,12,14,6,6,7,42
40027,3,1,5,4,3,1,2,4,3,5,5,4,5,4,2,3,1,1,2,5,3,2,2,3,3,2,2,1,3,12,8,9,5,3,5,29
40028,3,1,4,1,1,1,3,5,1,5,4,4,3,3,3,4,2,1,5,2,3,3,3,3,2,2,1,3,2,14,11,11,6,5,6,36
40029,3,1,2,2,3,2,1,5,1,2,4,4,5,5,5,4,5,1,2,5,3,1,2,2,1,1,5,1,2,14,12,15,6,6,8,41
40031,2,1,4,2,1,2,3,4,3,4,1,4,3,3,3,4,3,4,5,2,1,3,2,2,3,2,1,1,1,11,10,11,4,5,6,32
40032,2,1,2,2,1,1,2,2,2,5,3,4,4,5,3,2,4,1,2,3,3,2,3,5,2,2,1,1,2,15,12,14,6,6,7,41
40035,2,1,2,4,3,5,2,2,1,5,3,4,4,4,2,4,1,4,2,5,1,2,3,2,2,3,1,1,1,10,11,11,4,5,6,32
40039,3,1,1,3,3,1,2,3,1,5,1,1,1,3,1,3,1,3,2,3,3,2,1,1,1,2,1,1,1,11,16,9,4,8,5,36
40040,3,1,2,4,3,5,2,1,1,5,2,1,2,3,1,4,1,5,1,3,3,1,1,1,1,3,1,3,1,12,12,11,5,6,6,35
40041,3,1,2,5,3,2,2,4,1,5,1,5,5,3,2,3,1,1,2,3,1,2,2,1,3,2,1,1,2,15,11,14,6,5,7,40
40042,2,1,2,4,3,5,3,1,2,5,1,5,5,2,4,4,1,3,2,5,1,1,1,1,4,2,2,3,3,19,10,7,8,5,4,36
40045,3,1,1,4,3,2,2,2,1,5,2,5,4,2,3,2,1,3,5,3,1,2,2,4,2,2,1,1,3,14,12,8,6,6,4,34
40047,3,3,2,3,3,4,2,2,2,1,2,5,1,3,2,3,2,2,3,3,2,2,1,1,1,2,3,2,3,15,12,15,6,6,8,42
40052,2,1,4,2,1,2,2,4,1,5,1,2,5,2,2,4,5,1,1,3,1,2,1,1,1,1,1,3,2,15,8,8,6,3,4,31
40059,2,1,3,5,3,5,2,1,1,3,2,2,4,3,2,4,3,3,2,3,3,2,2,3,3,3,1,3,3,15,10,13,6,5,7,38
40064,3,1,2,5,3,1,2,4,1,2,4,5,4,4,3,2,1,1,2,4,3,2,3,2,3,2,1,1,2,15,3,8,6,1,4,26
40065,2,1,2,4,3,3,2,1,1,1,3,5,5,3,3,5,2,1,2,5,1,3,4,1,5,2,4,3,3,11,9,8,4,2,4,28
40067,2,1,2,4,3,5,3,3,1,5,5,4,5,4,3,4,1,3,3,5,3,2,2,2,3,2,1,1,2,12,10,6,5,5,3,28
40068,3,1,5,4,3,1,2,4,1,2,5,3,5,3,3,5,5,5,2,3,1,1,2,2,3,2,5,1,2,17,10,5,7,5,3,32
40070,3,1,2,4,3,1,3,2,1,2,1,1,4,3,2,4,2,1,1,2,1,1,2,3,2,1,1,1,1,22,8,6,9,3,3,36
40071,3,1,2,2,1,1,3,2,2,3,3,2,4,2,4,5,5,1,4,3,1,1,2,2,2,2,3,3,2,14,11,10,6,5,5,35
40072,2,1,3,5,3,5,2,2,1,5,5,5,2,2,4,4,3,1,2,3,1,2,1,2,3,2,1,1,2,7,9,11,2,2,6,27
40075,3,1,2,4,3,1,2,1,1,4,1,5,4,2,3,4,2,5,2,4,3,5,3,2,3,2,1,3,2,15,12,17,6,6,9,44
40077,2,1,5,2,2,2,3,3,1,2,1,1,1,3,1,4,1,1,1,3,3,1,1,1,1,2,1,6,1,15,14,6,6,7,3,35
40082,3,1,2,2,3,1,4,3,1,1,3,4,4,3,2,4,3,4,2,2,3,1,2,3,3,3,1,1,2,18,13,15,7,6,8,46
40083,3,1,5,2,3,1,3,4,1,5,4,4,3,3,3,3,1,1,2,3,1,2,2,3,2,2,2,1,2,12,10,8,5,5,4,30
40088,3,1,2,2,3,2,3,2,2,2,4,4,2,3,1,1,1,3,2,2,3,1,2,1,1,2,1,5,2,17,9,10,7,2,5,36
40090,2,2,5,4,3,2,3,1,1,5,1,1,1,2,2,1,1,1,1,4,1,1,2,1,1,2,1,1,2,10,10,11,4,5,6,31
40092,3,2,1,2,3,1,3,3,1,5,4,5,5,4,4,4,3,4,2,3,1,3,2,2,3,4,1,1,2,14,12,11,6,6,6,37
40095,2,2,3,4,3,5,3,1,1,5,1,5,4,3,2,3,1,3,2,5,3,2,3,1,2,2,1,1,2,16,10,13,6,5,7,39
40096,2,2,2,2,3,2,3,1,1,5,3,5,5,1,3,4,2,3,2,3,3,1,3,2,1,2,3,5,1,15,11,9,6,5,5,35
40097,2,2,2,2,1,1,3,3,1,5,1,4,4,2,3,4,5,3,1,3,3,2,3,1,1,3,3,4,3,14,10,15,6,5,8,39
40098,3,1,2,4,3,4,2,3,1,2,1,4,4,3,2,3,2,3,2,3,3,1,2,3,3,4,1,1,2,14,12,15,6,6,8,41
40100,3,1,3,3,3,2,3,3,1,2,4,2,5,3,1,4,2,3,2,3,1,3,2,2,2,3,1,3,1,17,6,11,7,2,6,34
40101,3,1,2,3,1,3,2,5,1,3,3,5,1,3,5,4,3,2,1,1,3,3,4,3,3,2,2,2,3,15,10,14,6,5,7,39
40102,3,1,3,2,1,1,2,4,2,3,4,3,4,3,3,4,2,3,2,3,3,3,3,3,3,3,3,2,3,12,10,15,5,5,8,37
40114,2,1,2,3,3,3,3,2,3,5,5,1,5,2,4,5,5,3,3,5,3,3,1,2,4,2,3,3,1,12,12,15,5,6,8,39
40120,2,1,2,5,3,5,3,1,1,5,1,1,1,4,1,4,2,1,1,1,1,1,1,1,2,3,2,1,1,15,12,14,6,6,7,41
40124,2,1,4,4,3,5,3,1,2,5,3,2,4,2,2,4,2,3,2,2,1,3,2,1,2,2,3,2,2,18,11,11,7,5,6,40
40125,2,1,3,2,3,2,4,3,2,4,1,4,2,4,2,2,4,3,2,3,1,2,2,2,2,3,1,1,2,16,7,9,6,3,5,32
40126,2,1,3,3,4,4,3,3,3,5,1,4,4,4,2,4,1,3,2,3,1,1,2,2,1,2,1,1,2,19,8,9,8,3,5,36
40128,3,4,4,4,3,1,2,4,1,3,4,2,4,3,2,4,1,3,2,3,3,2,3,3,3,2,1,1,2,11,11,14,4,5,7,36
40129,2,1,2,4,3,5,3,1,1,5,3,5,4,3,2,4,1,3,5,3,3,2,2,3,4,2,3,1,1,11,15,14,4,8,7,40
40130,2,1,1,4,3,4,2,3,1,5,1,3,4,3,3,3,4,4,2,2,1,1,3,4,3,4,2,3,2,11,12,11,4,6,6,34
40131,2,1,1,2,3,2,3,1,1,5,3,2,5,2,4,4,3,3,2,3,1,1,1,1,1,1,1,1,1,14,7,6,6,3,3,27
40134,2,1,4,3,3,4,3,3,1,5,1,5,5,3,1,4,1,2,2,2,1,1,1,4,4,4,1,1,1,20,7,8,8,3,4,35
40135,2,1,2,5,3,5,3,3,2,1,1,2,4,2,3,4,2,1,4,4,3,1,3,3,3,4,1,2,3,14,12,12,6,6,6,38
40137,2,1,5,3,3,5,3,1,1,3,3,2,4,4,3,4,1,3,2,4,3,4,1,3,2,1,5,1,1,15,9,10,6,2,5,34
40138,3,1,2,5,1,2,2,1,2,3,4,4,1,2,1,3,1,3,1,2,2,2,3,3,2,2,4,1,2,12,6,15,5,2,8,33
40149,3,1,4,2,1,2,2,4,2,5,4,4,4,3,2,4,1,3,1,3,3,2,3,2,3,4,1,3,2,18,8,14,7,3,7,40
40150,2,1,5,3,3,3,2,5,1,5,1,2,4,3,3,4,1,5,2,3,1,2,3,3,3,3,2,3,4,14,3,9,6,1,5,26
40155,2,1,3,5,3,5,3,2,1,5,3,5,5,2,3,4,2,4,2,5,2,5,2,2,3,1,2,1,2,14,10,8,6,5,4,32
40158,3,4,2,4,3,5,3,4,3,5,5,5,5,4,4,5,5,2,3,5,1,2,2,2,4,2,1,3,3,17,11,9,7,5,5,37
40161,2,4,2,4,3,5,3,2,1,3,3,5,5,3,3,4,2,2,3,4,1,1,2,2,2,2,5,6,2,13,10,12,5,5,6,35
40163,2,1,2,3,3,2,2,2,1,5,3,5,5,4,4,4,2,3,2,5,3,2,2,4,1,2,1,3,3,11,18,16,4,10,8,45
40164,2,1,2,4,3,4,3,1,1,2,2,4,4,3,2,3,1,1,2,5,1,5,2,1,3,3,1,5,2,14,16,14,6,8,7,44
40165,2,1,2,2,3,2,3,1,2,5,4,4,4,4,2,3,2,3,2,2,3,1,2,2,4,2,3,1,2,19,2,9,8,1,5,30
40166,2,1,1,4,3,2,3,1,1,5,5,4,4,4,3,4,2,1,2,3,1,1,1,2,2,2,1,1,3,16,12,12,6,6,6,40
40167,2,1,2,4,3,5,2,2,4,5,3,5,5,2,4,4,2,5,2,5,2,2,2,2,3,2,5,3,2,14,11,13,6,5,7,38
40168,2,1,2,5,5,5,3,3,1,5,1,2,2,4,2,4,2,3,2,3,1,1,2,1,3,2,3,1,2,19,2,15,8,1,8,36
40169,3,1,2,4,3,5,3,4,1,5,5,5,5,3,3,4,2,1,3,5,1,2,5,5,3,1,1,3,2,15,11,11,6,5,6,37
40170,3,1,2,2,3,2,3,1,3,5,4,5,5,3,4,4,2,3,3,5,1,1,2,4,3,2,5,3,3,7,15,12,2,8,6,34
40171,3,1,2,4,3,5,3,3,1,5,5,5,1,4,3,4,2,3,2,3,1,2,2,3,3,2,1,1,2,18,6,7,7,2,4,31
40173,3,1,4,2,1,1,2,4,1,5,4,3,4,2,3,4,5,5,1,3,3,2,2,2,1,2,1,1,1,20,12,7,8,6,4,39
